id,sku,name,price,short_url,original_price,discount,discount_rate,review_count,rating_average
276159943,4586901579152,NEXUS - Lược Sử Của Những Mạng Lưới Thông Tin Từ Thời Đại Đồ Đá Đến Trí Tuệ Nhân Tạo,243750,https://tiki.vn/product-p276159943.html?spid=276160116,325000,81250,25,53,4.8
273844986,3833117471983,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",113400,https://tiki.vn/product-p273844986.html?spid=212356653,189000,75600,40,369,4.8
273844978,8786838826491,Thao Túng Tâm Lý,101400,https://tiki.vn/product-p273844978.html?spid=167940011,169000,67600,40,1411,4.7
272449818,5074965088463,MANIFEST – 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,58100,https://tiki.vn/product-p272449818.html?spid=272449819,89000,30900,35,99,5.0
271379451,8865080400814,Lý Thuyết Trò Chơi,110980,https://tiki.vn/product-p271379451.html?spid=271379452,179000,68020,38,422,4.7
270546273,3955850316130,Combo Tư Duy Ngược + Tư Duy Mở (Nguyễn Anh Dũng) SBOOKS ,135000,https://tiki.vn/product-p270546273.html?spid=270546274,276000,141000,51,125,4.7
263070154,3183328469252,Giải mã Hoóc-môn Dopamine,127400,https://tiki.vn/product-p263070154.html?spid=263070155,198000,70600,36,123,5.0
196515658,3091437735835,Blue Period - Tập 04,44700,https://tiki.vn/product-p196515658.html?spid=196515662,48000,3300,7,168,5.0
195801653,8450740041724,Chú Thuật Hồi Chiến - Tập 6,27500,https://tiki.vn/product-p195801653.html?spid=195801659,30000,2500,8,794,5.0
194960721,5669654562758,Blue Period - Tập 03,44100,https://tiki.vn/product-p194960721.html?spid=194960724,48000,3900,8,256,5.0
194959173,7372241689726,Semantic Error – Lỗi Logic (Tập 2),197000,https://tiki.vn/product-p194959173.html?spid=194959175,259000,62000,24,647,4.8
193151000,9182314062218,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",599000,https://tiki.vn/product-p193151000.html?spid=193151014,599000,0,0,137,4.7
190861557,5337995399326,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,94900,https://tiki.vn/product-p190861557.html?spid=190861559,132000,37100,28,906,5.0
189643105,7150413107642,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,78100,https://tiki.vn/product-p189643105.html?spid=189643110,128000,49900,39,1474,4.8
188940817,8460723711989,Vị Thần Của Những Quyết Định,54900,https://tiki.vn/product-p188940817.html?spid=188940819,79000,24100,31,1190,4.8
174301838,5623982635450,BỘ BOOKMARK 1% TINH HOA,49000,https://tiki.vn/product-p174301838.html?spid=174301839,49000,0,0,22,5.0
168283405,6893421095594,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),116000,https://tiki.vn/product-p168283405.html?spid=168283407,165000,49000,30,783,5.0
161008715,9112392882091,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),112770,https://tiki.vn/product-p161008715.html?spid=161008716,179000,66230,37,562,5.0
157432544,8467218185680,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),141700,https://tiki.vn/product-p157432544.html?spid=157432545,220000,78300,36,1548,5.0
147920903,1967959392540,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,85050,https://tiki.vn/product-p147920903.html?spid=147920904,135000,49950,37,2051,4.8
145288029,5282892978499,Xứ Cát,149400,https://tiki.vn/product-p145288029.html?spid=145288030,249000,99600,40,1362,4.8
143217512,4078428870578,Điềm Tĩnh Và Nóng Giận,67100,https://tiki.vn/product-p143217512.html?spid=143217516,96000,28900,30,1145,4.8
121635152,4626380643723,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),71400,https://tiki.vn/product-p121635152.html?spid=121635153,119000,47600,40,1765,5.0
